"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.433326930E-1,-9.576806426E-2,-1.053448766E-1,9.883264542E0,9.884289912E0
6.483376160E-1,-1.915361285E-1,-7.661445439E-2,9.854534149E0,9.856693115E0
6.533424620E-1,-1.628057212E-1,-9.576806426E-2,9.921571732E0,9.923369531E0
6.583473850E-1,-1.819593310E-1,-1.149216816E-1,9.816226959E0,9.818585840E0
6.633522310E-1,-1.532289088E-1,-8.619125932E-2,9.969455719E0,9.971005735E0
6.683571540E-1,-1.340752989E-1,-1.244984865E-1,9.950302124E0,9.951984145E0
6.733620000E-1,-1.053448766E-1,-1.053448766E-1,9.911994934E0,9.913114478E0
6.783363850E-1,-1.532289088E-1,-8.619125932E-2,9.940725327E0,9.942279822E0
6.833413080E-1,-1.340752989E-1,-6.703764945E-2,9.873687744E0,9.874825563E0
6.883461540E-1,-1.053448766E-1,-9.576806426E-2,9.844957352E0,9.845986711E0
6.933510770E-1,-1.149216816E-1,-1.149216816E-1,9.911994934E0,9.913327270E0
6.983559240E-1,-1.340752989E-1,-1.053448766E-1,9.911994934E0,9.913461419E0
7.033608470E-1,-7.661445439E-2,-8.619125932E-2,9.864110947E0,9.864785019E0
7.083351540E-1,-1.053448766E-1,-3.830722719E-2,9.931148529E0,9.931781114E0
7.133400780E-1,-1.532289088E-1,-1.436520964E-1,9.825803757E0,9.828048356E0
7.183449240E-1,-1.436520964E-1,-5.746084079E-2,9.940725327E0,9.941929274E0
7.233498470E-1,-1.436520964E-1,-7.661445439E-2,9.911994934E0,9.913331896E0
7.283546930E-1,-1.628057212E-1,-2.873042040E-2,9.911994934E0,9.913373528E0
7.333596160E-1,-1.628057212E-1,-9.576806426E-2,9.883264542E0,9.885069308E0
7.383340010E-1,-1.244984865E-1,-1.436520964E-1,9.950302124E0,9.952117772E0
7.433388470E-1,-1.340752989E-1,-8.619125932E-2,9.854534149E0,9.855823071E0
7.483437700E-1,-1.723825186E-1,-1.149216816E-1,9.931148529E0,9.933309309E0
7.533486160E-1,-1.436520964E-1,-8.619125932E-2,9.940725327E0,9.942136836E0
7.583535390E-1,-1.723825186E-1,-9.576806426E-2,9.931148529E0,9.933106179E0
7.633583850E-1,-1.340752989E-1,-1.340752989E-1,9.911994934E0,9.913808347E0
7.683327700E-1,-1.819593310E-1,-5.746084079E-2,9.969455719E0,9.971281677E0
7.733376160E-1,-1.053448766E-1,-8.619125932E-2,9.854534149E0,9.855474102E0
7.783425390E-1,-9.576806426E-2,-1.053448766E-1,9.921571732E0,9.922593143E0
7.833473850E-1,-1.723825186E-1,-8.619125932E-2,9.864110947E0,9.865993586E0
7.883523080E-1,-1.436520964E-1,-1.340752989E-1,9.864110947E0,9.866067954E0
7.933571550E-1,-1.628057212E-1,-7.661445439E-2,9.873687744E0,9.875327091E0
7.983620780E-1,-1.915361285E-1,-3.830722719E-2,9.902418137E0,9.904344425E0
8.033363850E-1,-1.532289088E-1,-7.661445439E-2,9.988609314E0,9.990078323E0
8.083413090E-1,-1.340752989E-1,-9.576806426E-2,9.902418137E0,9.903788803E0
